,llama_gc_guess,llama_gc_ask_confidence,llama_gc_tok_confidence
0,No,0.9,0.7467745926814725
1,No,0.9,0.9946650307900744
2,No,1.0,0.9994501516324829
3,No,0.9,0.9993866869743369
4,No,0.8,0.8345586438061172
5,No,0.8,0.776459974646822
6,No,0.9,0.9987663962375344
7,No,0.9,0.9998057266053867
8,No,0.9,0.9913474923757573
9,No,1.0,0.9999350351575294
10,No,0.9,0.9996899136239419
11,No,0.9,0.9996554846747613
12,No,0.7,0.7538648065573422
13,No,0.7,0.6777506518042339
14,No,0.8,0.9141893665164069
15,Yes,0.8,0.9997622340125312
16,No,0.8,0.8928693010842742
17,Yes,0.6,0.981305427062431
18,No,0.9,0.999576271379118
19,No,0.9,0.998761639573146
20,No,0.9,0.9987671096810107
21,No,0.9,0.9998213372005136
22,No,1.0,0.9998516064617196
23,No,0.9,0.9996090272265284
24,No,0.8,0.9575072451980846
25,No,0.9,0.9971269894766277
26,No,1.0,0.9996341613551717
27,No,1.0,0.9998457669779236
28,No,1.0,0.9999444515564443
29,No,0.9,0.9977437022731137
30,No,0.9,0.9982326327046207
31,No,1.0,0.9995698395895363
32,No,0.9,0.9996184374861408
33,No,0.8,0.91440351659576
34,No,0.9,0.9984093022273862
35,No,0.9,0.9795411251845452
36,No,0.9,0.993970373652089
37,No,1.0,0.9998398083816806
38,No,1.0,0.9998168088818611
39,No,1.0,0.9998928423312176
40,No,0.8,0.9930977133806937
41,No,0.8,0.7520160275408143
42,No,0.8,0.9737339562307216
43,Yes,0.6,0.9457836244809564
44,Yes,0.9,0.9999362271009362
45,Yes,0.6,0.9518352720214768
46,Yes,0.6,0.678028620549867
47,Yes,0.6,0.9910841966732464
48,Yes,0.6,0.9512047393546663
49,Yes,0.7,0.9972840601778648
50,No,0.9,0.9667237441467119
51,No,0.8,0.9623174701365339
52,No,0.8,0.9519168197191605
53,No,0.8,0.9839695440976884
54,No,0.8,0.9703752754991027
55,No,0.9,0.997084914767405
