input,output
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""week saw a return to form. The Broncos then defeated the injury-struck Parramatta Eels 23-0 in Round 25 and in round 26 the New Zealand Warriors 36-12. Brisbane was heading into the finals with momentum not seen since their last premiership-winning season in 2000, but lost to the St George Illawarra Dragons 20-4 in what was at the time the highest attended Broncos game ever played at Suncorp Stadium. Brisbane bounced back in the semi-final, defeating the Newcastle Knights 50-6 and captain Darren Lockyer became the club's highest ever point-scorer with 1,077 (breaking Michael De Vere's record of 1,062 points).""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: Yes

[Confidence]: 0.9<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""Brisbane Broncos honours Honours won by the Brisbane Broncos include six National Rugby League Premierships and two World Club Challenge titles. In addition the club and its players have won several more honours and awards since the Broncos were founded in 1988. The Broncos qualified for the NSWRL/ARL/SL/NRL finals in the following years. 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2014 and 2015 The Rothmans Medal is awarded to Player of the Year from the years 1968-1996. The Dally M. Medal is a different system to""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: No.

[Confidence]: 0.9<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""History of the Brisbane Broncos The history of the Brisbane Broncos Rugby League Football Club stretches back from their inception in the mid-1980s to the present day. They were introduced to the NSWRL's Winfield Cup premiership in 1988, taking the competition by storm in winning their first six games. The Broncos participated in 18 consecutive finals series from 1992-2009, winning premierships six times, including the 1992 and 1993 NSWRL premierships, the Superleague premiership in 1997 and then the 1998, 2000 and 2006 National Rugby League premierships. Whilst Brisbane had had its own rugby league club competition since 1909, Brisbane teams""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: Yes

[Confidence]: 1.0<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""out 15–8 winners. It was a perfect farewell for retiring prop Shane Webcke. The Broncos maintained their 100% win record in Grand Finals (1992, 1993, 1997, 1998, 2000 and 2006). The six Premierships make Wayne Bennett the most successful club coach in Australian club football history. Brisbane 15 (TRIES: Hodges, Tate; GOALS: Lockyer 2/2, Parker 1/2; FIELD GOALS: Lockyer) defeated Melbourne 8 (TRIES: Turner, King; GOALS: Smith 0/1, Geyer 0/1) Halftime: Brisbane 8-4 Referee: Paul Simpkins Stadium: Telstra Stadium (Sydney) Crowd: 79,609 Clive Churchill Medal: Shaun Berrigan (Brisbane) When They Scored 10th Minute: Brisbane 2-0 (Darren Lockyer penalty goal)<br> 14th""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: Yes.

[Confidence]: 0.9.<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""who kicked the winning field goal for his team, was awarded the Clive Churchill Medal as the best player on the ground. Pre-match entertainment was headlined by Australian rock band Cold Chisel. The Brisbane Broncos qualified for their first grand final appearance since 2006, and had never previously been defeated in a grand final, winning all six they have featured in – 1992, 1993, 1998, 2000, 2006, and 1997 for Super League. It was Broncos coach Wayne Bennett's eighth involvement in a grand final after coaching the club in all of their previous grand final appearances, and winning a premiership""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: Yes

[Confidence]: 0.9<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""2001 Brisbane Broncos season The 2001 Brisbane Broncos season was the fourteenth in the club's history. They competed in the NRL's 2001 Telstra Premiership and finished the regular season in fifth position, going on to play in the finals and coming within one match of the grand final. As the 2000 season's premiers, the Brisbane Broncos travelled to England in January to contest the 2001 World Club Challenge. The players wore black armbands during the match in memory of the club's co-founder Paul ""Porky"" Morgan who had died from a heart attack the previous day. Brent Tate made his NRL""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: No.

[Confidence]: 0.95.<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""1996 Brisbane Broncos season The 1996 Brisbane Broncos season was the ninth in the club's history. They competed in the Australian Rugby League's 1996 Optus Cup premiership and finished the regular season in second place on the ladder, progressing as far as the semi-finals. In 1996 the Broncos once again started solidly, went through a losing streak mid-season but recovered to finish strongly, conforming to the pattern of previous seasons. However again they capitulated, losing to North Sydney and Cronulla to lose their fifth straight finals match. Gorden Tallis, at the time still contracted to the St George, chose to""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: No.

[Confidence]: 0.95<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""due to a finger injury to former Kangaroo Tour winger Michael Hancock, scored the opening try in Brisbane's 38–12 1998 NRL grand final win against the Canterbury Bulldogs. The 2000 Brisbane Broncos season's top point-scorer, De Vere made it two premierships in four seasons with the club when he landed three goals in their 2000 NRL grand final win over the Sydney Roosters. Having won the 2000 NRL Premiership, the Broncos traveled to England to play against 2000's Super League V Champions, St Helens R.F.C. for the 2001 World Club Challenge, with De Vere playing at centre and kicking three""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: Yes

[Confidence]: 0.9<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""win enabled the Broncos to maintain their perfect record in grand final matches and made Wayne Bennett the most successful coach in grand final history with 6 from 6. On 6 December 2006, the Toowoomba Clydesdales, who had been the feeder club for the Brisbane Broncos since 1999 announced that the club was roughly A$100,000 short to be able to field a team in the 2007 Queensland Cup and withdrew from the competition. The following day the Aspley Broncos were announced as the new feeder team for the Brisbane Broncos. On 23 February 2007 The Broncos played against European Super""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: No.

[Confidence]: 0.95<|eot_id|>"
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

You are a helpful assistant in identifying useful information for question answering.<|eot_id|><|start_header_id|>user<|end_header_id|>

You will be provided with a <question> and a <paragraph>.  Your job is to assess whether the <paragraph> is useful in answering the <question>, given the <background_information> defining what is useful.

<background_information>: ""The <paragraph> is useful only if some of its content directly answer the <question> or at least a part of the <question>. Content with relevant topic but without direct answers are not useful.""
<question>: ""When did the brisbane broncos last won a premiership?""
<paragraph>: ""by the previous year's runners-up, the North Queensland Cowboys in the first round. This was the 8th consecutive loss for the club and equalled the record for longest losing streak set in 2003. Round 2 saw the Broncos get their first win for the season and their first win since round 21, 2005 with a 16-12 victory over the Cronulla Sharks (This game is the third game in a row that the Brisbane Broncos beat Cronulla Sharks 16-12 at Toyota Park). The Broncos then went on to have a strong first half of the season, winning 11 of their first""


Is <paragraph> useful for answering <question>? Provide your best guess and your confidence that the guess is correct. Reply in the following format:
[Guess]: <Your most likely guess, should be one of ""Yes"" or ""No"".>
[Confidence]: <Give your honest confidence score between 0.0 and 1.0 about the correctness of your guess. 0 means your previous guess is very likely to be wrong, and 1 means you are very confident about the guess.><|eot_id|><|start_header_id|>assistant<|end_header_id|>

","[Guess]: No.

[Confidence]: 0.95.<|eot_id|>"
